Steps	Distance
24	1385.90467638084
22	484.34786266332
18	472.311021460733
14	255.662932964794
19	342.024180870968
17	2149.83033265962
34	1194.71780648887
16	412.472864539611
41	1205.87679211204
11	35.0451800581048
46	1869.8505748847
41	752.444227076888
23	292.428160380224
10	335.797708267857
25	883.720291550909
32	1087.92649870399
22	311.189391326062
25	1144.56550304282
17	303.860155757484
28	918.235091354495
48	803.169568516981
21	1599.5509678584
20	752.55844081479
60	1122.11822386798
35	1206.30070691166
27	1454.73274233201
27	502.942151063639
16	213.386554163822
24	717.47846423781
21	1109.88846317344
16	267.417205143199
15	472.440960135097
24	1941.65115799761
27	702.712129542759
20	138.287832693496
19	432.289788050996
39	1874.81953070366
19	943.195505108743
28	1257.65119056038
13	248.946929811259
14	237.708240559468
23	426.47574787804
31	1293.45117837857
19	755.747206170886
28	442.212246376404
25	546.749138687854
16	1755.55277748248
21	1002.24363176648
9	161.779650727367
20	265.128584000963
29	1287.24076181939
26	1750.19889949789
18	331.258578675986
11	156.306014501469
24	447.946377346181
22	1154.16417583336
34	1685.54698121391
19	858.954616995573
30	1460.45569681755
28	619.486115994241
30	852.666145086372
26	374.369455573244
20	690.513591284266
34	682.352680581812
13	828.603997008947
47	1826.18786325364
33	901.63911417484
37	1922.83658506723
26	1014.78671605388
17	549.142006840998
31	453.068914931876
39	1558.41144053998
20	640.479870612605
19	598.458900984547
22	871.759219249721
16	994.005408913192
39	1369.40121826419
16	283.146573158357
14	259.672361704905
44	499.047382030177
29	304.619850519174
12	723.24434689151
12	871.389177328142
10	92.8327519203054
17	415.706693322858
27	392.831222895888
13	1639.57713128567
27	1006.11682702989
21	270.498484372401
19	1424.17457223186
44	1237.75912477869
31	471.273144898559
35	469.281450344291
23	1045.53925956206
34	658.838338506668
12	237.968004136224
34	1425.63602022072
20	137.859577486475
28	1167.10026645846
36	974.570737444657
36	1899.07482069726
12	210.270798459419
14	1398.2575083588
31	1817.24369572808
21	93.997934725308
26	1204.68294382413
19	547.592900072633
18	143.547702507732
31	1145.49296054694
31	1661.11133155339
24	838.295213138213
32	253.008630111008
24	771.606510117966
23	224.669083715448
22	1036.52820371876
22	628.359756475085
20	806.206592161067
23	397.471877511983
32	1145.51606663541
11	304.448996201178
39	1447.30676327769
18	1029.43261429265
28	902.004003231845
39	1153.91442621213
26	1422.45342424906
26	580.357508500834
13	225.617168950127
27	461.591912499315
30	370.11909813418
30	351.552534966825
19	348.346409525627
25	748.248264611882
32	696.03011787107
27	327.783500245319
22	509.059866604803
22	627.981348811421
42	427.742533691808
12	375.600131089518
37	1909.61430846262
35	550.056737019996
16	662.946495829025
17	382.974604884163
29	479.625947204927
21	191.240197059907
28	199.874174988604
31	1339.36949945563
11	844.949737991957
46	1837.01578389916
11	235.653398582419
31	647.044800333567
24	2089.92069001265
38	1798.5247659396
18	431.187030571492
16	192.027226604051
21	94.3387598543255
30	984.114158791285
27	1047.94167958828
20	418.932471350926
39	1895.67220804554
31	1184.89862059143
18	595.832423552784
28	683.486971693928
16	296.488237055967
20	403.548370931824
30	1773.31658046981
18	379.854507808261
23	661.380902150237
19	671.138398766979
21	998.989387078429
22	311.505369336787
23	1485.78024644817
19	662.944429987905
22	386.54321406588
12	364.870260384457
27	973.152392442552
18	178.914972258169
21	204.36619103766
27	315.040405049321
36	1735.48340548337
24	433.320708446282
39	789.63379764653
26	1405.80519891461
18	551.621049070777
24	608.979656654486
18	588.083206633245
26	1850.56797378005
16	104.567914593852
28	913.785259582138
42	813.99182880752
16	624.668337804768
30	1580.02561782837
13	158.908652504635
45	595.923055925934
19	1347.27818510065
26	798.168555611091
